category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6,,,,,
trust_fund,Trust Fund Investment,G3,Invest 40% of Trust Funds in equities with 5.8% return,"Invest 40 percent of the OASI and DI Trust Fund reserves in equities (phased in 2027-2036), assuming an ultimate 5.8 percent annual real rate of return on equities.",More aggressive equity investment approach; Long-range effect: 0.78% of payroll; 75th year effect: 0.59% of payroll,0.78,0.59,22,13,Long-range effect: 0.20% of payroll,75th year effect: 0.15% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run254.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run254.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G4,Invest 15% of Trust Funds in equities with 5.8% return,"Invest 15 percent of the OASI and DI Trust Fund reserves in equities (phased in 2027-2036), assuming an ultimate 5.8 percent annual real rate of return on equities.",Conservative equity allocation with standard returns; Long-range effect: 0.20% of payroll; 75th year effect: 0.15% of payroll,0.2,0.15,6,3,Long-range effect: 0.14% of payroll,75th year effect: 0.10% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run255.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run255.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G5,Invest 15% of Trust Funds in corporate bonds with 3.8% return,"Invest 15 percent of the OASI and DI Trust Fund reserves in corporate bonds (phased in 2027-2036), assuming an ultimate 3.8 percent annual real rate of return on corporate bonds.",Diversifies trust fund holdings with moderate risk; Long-range effect: 0.14% of payroll; 75th year effect: 0.10% of payroll,0.14,0.1,4,2,Long-range effect: 0.32% of payroll,75th year effect: 0.24% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run256.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run256.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G6,Invest 40% of Trust Funds in equities with 3.8% return,"Invest 40 percent of the OASI and DI Trust Fund reserves in equities (phased in 2027-2036), assuming an ultimate 3.8 percent annual real rate of return on equities.",Large equity allocation with moderate return expectations; Long-range effect: 0.32% of payroll; 75th year effect: 0.24% of payroll,0.32,0.24,9,5,Long-range effect: 0.50% of payroll,75th year effect: 0.35% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run257.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run257.html,,,,,,,,,,,
trust_fund,Trust Fund Investment,G7,Invest 25% of Trust Funds in international equities with 5.8% return,"Invest 25 percent of the OASI and DI Trust Fund reserves in international equities (phased in 2027-2036), assuming an ultimate 5.8 percent annual real rate of return on equities.",Global diversification of trust fund assets; Long-range effect: 0.50% of payroll; 75th year effect: 0.35% of payroll,0.5,0.35,14,8,Long-range effect: 0.22% of payroll,75th year effect: 0.19% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run272.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run272.html,,,,,,,,,,,
taxation,Taxation of Benefits,H2,Tax up to 100% of benefits for high earners,"Beginning in 2031, for single/head-of-household/married-filing-separate taxpayers with MAGI of $250,000 or more and joint filers with MAGI of $500,000 or more, include up to the remaining 15 percent of Social Security benefits in taxable income (increased from up to 85 percent of benefits taxable under current law).",Increases taxation on high-income beneficiaries; Wage-indexed thresholds; Long-range effect: 0.22% of payroll; 75th year effect: 0.19% of payroll,0.22,0.19,6,4,Long-range effect: -0.10% of payroll,75th year effect: -0.01% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run274.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run274.html,,,,,,,,,,,
taxation,Taxation of Benefits,H4,Eliminate taxation of benefits with phased thresholds,"Eliminate federal income taxation of OASDI benefits that is credited to the OASI and DI Trust Funds for 2054 and later. Phase out OASDI taxation of benefits by increasing relevant income thresholds from 2045 through 2053, while maintaining Hospital Insurance Trust Fund revenue.",Reduces taxation of Social Security benefits; Phases out over 9 years; Long-range effect: -0.10% of payroll; 75th year effect: -0.01% of payroll,-0.1,-0.01,-3,0,Long-range effect: 0.02% of payroll,75th year effect: 0.02% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run275.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run275.html,,,,,,,,,,,
taxation,Taxation of Benefits,H5,Simplify benefit taxation with fixed thresholds,"Replace the current-law thresholds for federal income taxation of OASDI benefits with a single set of thresholds at $50,000 for single filers and $100,000 for joint filers for taxation of up to 85 percent of OASDI benefits, effective for tax year 2026. Thresholds would be fixed and not indexed.",Simplifies benefit taxation structure; Fixed income thresholds; Long-range effect: 0.02% of payroll; 75th year effect: 0.02% of payroll,0.02,0.02,0,0,Long-range effect: -0.62% of payroll,75th year effect: -1.11% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run276.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run276.html,,,,,,,,,,,
taxation,Taxation of Benefits,H6,Reduce taxation of benefits by half,"Reduce the portion of Social Security benefits subject to taxation from 85% to 42.5% for high earners and from 50% to 25% for moderate earners, phased in from 2025-2030. Continue to index current-law income thresholds by inflation.",Significantly reduces taxation on Social Security benefits; Long-range effect: -0.62% of payroll; 75th year effect: -1.11% of payroll,-0.62,-1.11,-18,-24,Long-range effect: -0.16% of payroll,75th year effect: -0.01% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run277.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run277.html,,,,,,,,,,,
taxation,Taxation of Benefits,H7,Index current thresholds to inflation,"Index the income thresholds for taxation of OASDI benefits to inflation starting in 2027. Current-law thresholds are $25,000 for single filers and $32,000 for joint filers for up to 50% of benefits taxed and $34,000 for single filers and $44,000 for joint filers for up to 85% of benefits taxed.",Prevents tax bracket creep through inflation adjustment; Long-range effect: -0.16% of payroll; 75th year effect: -0.01% of payroll,-0.16,-0.01,-5,0,,,,,,,,,,,,,,,
